channel_title,Total_Videos,Total_Views,Avg_Views,Total_Likes,Avg_Engagement
NWSSanDiego,4,19932,4983.0,104,0.55
DKDKTV,3,19662,6554.0,1269,7.85
Car Commercials of the Past,4,19021,4755.25,88,0.6
ladygagaarraza,1,18916,18916.0,1425,8.63
VOsprey22,6,18856,3142.67,145,0.86
Davey Swatpaz,2,18832,9416.0,716,4.22
Mark Linsangan,2,18783,9391.5,874,5.65
Voicebot,5,18578,3715.6,10,0.12
Red Bull Records,3,18278,6092.67,816,5.17
Tegan and Sara,3,17855,5951.67,1372,8.27
Hybrid Network,2,17081,8540.5,572,5.2
Kita Osaka,3,16910,5636.67,63,0.41
Crafty Panda,2,16433,8216.5,41,0.27
LetsGoWarriors,1,16305,16305.0,147,1.27
Quad9 DNS,3,15940,5313.33,129,1.1
VideoGameAds,4,15658,3914.5,52,0.44
Tamika Hall,3,15658,5219.33,39,0.29
AFP news agency,4,15574,3893.5,76,0.57
"monday.com, formerly dapulse",3,15544,5181.33,58,0.42
DaHoopSpot Productions,6,15532,2588.67,48,0.96
Viral Paws,2,15461,7730.5,600,4.37
Billboard News,4,15451,3862.75,328,4.73
The Sydney Morning Herald,5,15321,3064.2,37,0.65
HARRY,4,15311,3827.75,0,0.0
Carlos Campos,4,15245,3811.25,7,0.04
RZSS Highland Wildlife Park,4,14501,3625.25,48,0.39
Geoff Mallinson,3,14363,4787.67,6,0.14
GrDrtube,1,14289,14289.0,42,0.35
FRANKIEmusicVEVO,2,14223,7111.5,480,4.14
Masters Of The Sun,3,14142,4714.0,75,0.62
automotivemaster1972,6,14131,2355.17,29,0.27
The Current Source,4,14114,3528.5,619,4.98
Any rubbish,3,14014,4671.33,6,0.05
Radio Physics and Electronics,4,13958,3489.5,330,3.02
Hot Dad,1,13676,13676.0,1172,9.94
UCAN Zippers USA,3,13648,4549.33,31,0.34
Flash Rahbbit,2,13361,6680.5,319,3.34
lugnutsoldcrap,2,13061,6530.5,30,0.35
ekaggrat singh kalsi,2,12787,6393.5,50,0.51
jeremiah johnson,4,12749,3187.25,16,0.36
NOVA's Secret Life of Scientists and Engineers,4,12740,3185.0,118,0.97
Blockbuster,1,12609,12609.0,40,1.08
Charles Chan,1,12515,12515.0,30,0.33
BeyondSlowMotion,1,12468,12468.0,310,2.84
John Varvatos,3,12281,4093.67,360,3.13
FlyFastandLow,3,12177,4059.0,26,0.21
Must Love Science,2,11924,5962.0,217,2.16
Josh Levine,6,11638,1939.67,53,0.46
Rock & Roll Hall of Fame,2,11594,5797.0,381,5.52
F Milburn,4,11486,2871.5,18,0.25
daronjay,3,10991,3663.67,27,0.27
bitluni's lab,1,10891,10891.0,771,7.85
Joshua Levin,2,10845,5422.5,117,1.14
RihannaNavyVevo,1,10754,10754.0,163,2.26
Desktop Makes,3,10741,3580.33,404,4.97
GinWigmoreVEVO,2,10682,5341.0,814,8.43
MILCK,2,10668,5334.0,613,6.11
SiggasNationâ¢,1,10525,10525.0,226,3.45
LOFTON SHAW,2,10437,5218.5,40,0.46
Slednecks,2,10259,5129.5,36,0.37
Kerry Wong,3,10247,3415.67,200,2.21
iotexpert,3,10067,3355.67,48,0.48
CyclingTips,2,9911,4955.5,132,1.91
eba era,3,9699,3233.0,9,0.3
CoinDaddy,1,9577,9577.0,139,1.85
Electron Dust,2,9353,4676.5,22,0.38
HOTSPOTATL,3,9331,3110.33,43,0.63
Atlanta Hawks,3,9202,3067.33,57,0.7
Sieuwe Elferink,2,9181,4590.5,16,0.22
Speks,4,9158,2289.5,60,0.92
iDB,2,8436,4218.0,220,3.08
Voltfolio,3,8266,2755.33,86,1.04
Mike Olbinski,1,8177,8177.0,491,7.33
Freeform,1,7978,7978.0,219,2.92
John Sellars,5,7936,1587.2,30,0.45
IsraeliPM,2,7681,3840.5,145,3.9
Define American,4,7427,1856.75,0,0.0
Context Information Security,2,7392,3696.0,33,0.72
Dean Anderson,1,7325,7325.0,6,0.18
Tentmaker Pictures,3,7275,2425.0,0,0.09
NARLtv,2,7244,3622.0,37,0.62
Kevin Stein,3,7151,2383.67,6,0.08
revlon,1,7130,7130.0,114,1.73
Kevin Rabatin,3,7087,2362.33,8,0.17
Bee Ly TV,3,7083,2361.0,55,1.03
Shawn,1,7036,7036.0,55,0.95
Saved By The Max,3,7008,2336.0,21,0.3
National Safety Council,3,6832,2277.33,57,0.99
Michael Rigsby,4,6771,1692.75,26,0.38
Penguin Books South Africa,3,6736,2245.33,35,0.52
New York Magazine,2,6633,3316.5,66,1.12
Stewart Brand,1,6412,6412.0,49,0.8
Science vs Cinema,1,6320,6320.0,90,1.79
edlover4real,1,6172,6172.0,29,1.07
Saskatchewan Rush,3,6153,2051.0,12,0.2
I'm With Her,1,6148,6148.0,121,2.33
Ross Kempsell,2,6027,3013.5,13,1.51
Na So We See Am,3,5933,1977.67,37,1.12
FacelesswithEyesOpen,2,5840,2920.0,62,1.16
Taylor Alexander,1,5584,5584.0,38,0.9
PK Inventor,1,5509,5509.0,0,0.31
Pies Are Awesome,3,5373,1791.0,53,1.25
littleBits Electronics,3,5361,1787.0,48,1.05
CNLohr,1,5224,5224.0,522,11.39
negermano,2,5209,2604.5,9,0.17
Nahre Sol,1,5149,5149.0,242,5.75
Aerie,1,5144,5144.0,18,0.39
The Scam On Demand,3,5107,1702.33,48,1.71
Taras Malyar,2,5086,2543.0,21,0.41
Newsy,6,4953,825.5,143,4.31
Caterham Cars,1,4850,4850.0,22,0.49
Skelly Robot,1,4767,4767.0,90,1.99
Rob Andretti,2,4644,2322.0,0,0.12
dekuNukem,3,4636,1545.33,19,0.49
Madmorda,1,4541,4541.0,144,3.83
J Gasser,4,4468,1117.0,7,0.24
Missguided,1,4371,4371.0,18,0.41
JanPaul123,1,4253,4253.0,29,0.78
Facelesstech,3,3927,1309.0,6,0.35
9-1-1 on FOX,3,3911,1303.67,38,0.97
TDAmeritrade,1,3831,3831.0,0,0.0
Neil Fraser,2,3812,1906.0,16,0.47
Thomas Sebastian,1,3788,3788.0,37,1.14
University of Rochester EEOC Complainants,4,3773,943.25,46,2.02
taalk com,3,3757,1252.33,69,2.37
The Nocturnal Alchemist,2,3712,1856.0,63,3.82
Republican News Watch,1,3596,3596.0,20,1.03
Chris Sturgeon,1,3438,3438.0,18,0.52
Maggie Smith KÃ¼hn,1,3411,3411.0,41,1.44
DraftExpress,2,3384,1692.0,27,1.0
MickMake,1,3237,3237.0,161,6.12
Grist,1,3133,3133.0,37,1.56
